city,country,continent,hemisphere,year,temp_annual_mean,temp_annual_avg_max,temp_annual_record_max,temp_annual_avg_min,temp_annual_record_min,temp_range_mean,anomaly_annual_mean,latitude,longitude
Paris,France,Europe,Northern,2019,12.2413698630137,16.516438356164382,40.7,8.032602739726027,-5.6,8.483835616438355,0.08403141832585717,48.8566,2.3522
Paris,France,Europe,Northern,2020,13.036065573770491,17.26502732240437,38.2,8.876502732240438,-3.5,8.388524590163934,0.8787271290826504,48.8566,2.3522
Paris,France,Europe,Northern,2021,11.422191780821919,15.545205479452054,32.0,7.454520547945206,-5.9,8.09068493150685,-0.7351466638659235,48.8566,2.3522
Paris,France,Europe,Northern,2022,12.871780821917808,17.294794520547946,39.1,8.478904109589042,-5.3,8.815890410958904,0.7144423772299668,48.8566,2.3522
Paris,France,Europe,Northern,2023,12.933972602739725,17.053972602739726,34.0,8.976712328767123,-5.2,8.077260273972602,0.7766341580518846,48.8566,2.3522
Paris,France,Europe,Northern,2024,12.280601092896175,16.1431693989071,35.5,8.64398907103825,-6.1,7.499180327868852,0.12326264820833348,48.8566,2.3522
Sao Paulo,Brazil,South America,Southern,2015,20.324657534246576,24.895342465753423,34.5,16.98164383561644,9.3,7.913698630136986,0.7223574247175498,-23.5505,-46.6333
Sao Paulo,Brazil,South America,Southern,2016,19.51775956284153,24.18770491803279,32.4,16.009562841530055,3.1,8.178142076502732,-0.08454054668749544,-23.5505,-46.6333
Sao Paulo,Brazil,South America,Southern,2017,19.27150684931507,24.41041095890411,33.0,15.61917808219178,6.2,8.791232876712328,-0.3307932602139569,-23.5505,-46.6333
Sao Paulo,Brazil,South America,Southern,2018,19.195616438356165,24.348219178082193,32.5,15.489863013698631,7.0,8.858356164383562,-0.4066836711728611,-23.5505,-46.6333
Sao Paulo,Brazil,South America,Southern,2019,19.70219178082192,25.064657534246578,35.3,15.815068493150685,4.8,9.24958904109589,0.0998916712928923,-23.5505,-46.6333
Sao Paulo,Brazil,South America,Southern,2020,19.255464480874316,24.84672131147541,38.1,15.206830601092896,6.4,9.639890710382513,-0.34683562865470846,-23.5505,-46.6333
Sao Paulo,Brazil,South America,Southern,2021,18.85287671232877,24.492602739726024,33.8,14.85945205479452,1.4,9.633150684931506,-0.7494233972002582,-23.5505,-46.6333
Sao Paulo,Brazil,South America,Southern,2022,18.674246575342465,24.19945205479452,31.8,14.81123287671233,5.4,9.388219178082192,-0.9280535341865597,-23.5505,-46.6333
Sao Paulo,Brazil,South America,Southern,2023,19.773972602739725,25.397260273972602,36.5,15.620000000000001,6.9,9.777260273972603,0.17167249321070058,-23.5505,-46.6333
Sao Paulo,Brazil,South America,Southern,2024,20.36174863387978,26.244262295081967,36.3,15.977322404371584,1.4,10.266939890710383,0.7594485243507559,-23.5505,-46.6333
Singapore,Singapore,Asia,Northern,2015,26.568493150684933,28.634246575342466,30.6,24.964931506849318,22.7,3.6693150684931504,-0.1997981965220797,1.3521,103.8198
Singapore,Singapore,Asia,Northern,2016,26.93934426229508,28.947267759562845,30.8,25.396174863387976,23.7,3.5510928961748633,0.1710529150880708,1.3521,103.8198
Singapore,Singapore,Asia,Northern,2017,26.726301369863016,29.34904109589041,31.5,24.659178082191783,22.3,4.68986301369863,-0.04198997734399756,1.3521,103.8198
Singapore,Singapore,Asia,Northern,2018,26.594246575342464,29.273972602739725,32.2,24.458082191780825,21.6,4.815890410958904,-0.17404477186454553,1.3521,103.8198
Singapore,Singapore,Asia,Northern,2019,27.012602739726027,29.894520547945206,35.5,24.640821917808218,22.0,5.253698630136986,0.24431139251901623,1.3521,103.8198
Singapore,Singapore,Asia,Northern,2020,26.740163934426228,29.43934426229508,33.2,24.58224043715847,22.0,4.857103825136612,-0.028127412780781725,1.3521,103.8198
Singapore,Singapore,Asia,Northern,2021,26.52958904109589,29.34986301369863,33.6,24.260821917808222,21.9,5.089041095890411,-0.2387023061111208,1.3521,103.8198
Singapore,Singapore,Asia,Northern,2022,26.49041095890411,29.497534246575345,32.2,24.122191780821918,22.0,5.375342465753425,-0.27788038830290157,1.3521,103.8198
Singapore,Singapore,Asia,Northern,2023,26.599178082191784,30.053424657534247,33.2,23.96821917808219,21.7,6.085205479452054,-0.16911326501523036,1.3521,103.8198
Singapore,Singapore,Asia,Northern,2024,26.786612021857923,30.514754098360655,34.2,23.946448087431694,21.5,6.5683060109289615,0.018320674650912246,1.3521,103.8198
Sydney,Australia,Australia,Southern,2015,17.503013698630138,20.745753424657533,35.9,14.426849315068493,4.7,6.318904109589042,-0.27913307026361966,-33.8688,151.2093
Sydney,Australia,Australia,Southern,2016,18.051639344262295,21.464207650273224,34.9,14.787704918032787,4.9,6.676502732240437,0.2694925753685384,-33.8688,151.2093
Sydney,Australia,Australia,Southern,2017,17.857808219178082,22.393698630136985,39.5,13.826575342465754,2.7,8.567123287671233,0.07566145028432557,-33.8688,151.2093
Sydney,Australia,Australia,Southern,2018,17.61068493150685,22.27013698630137,41.2,13.367945205479453,1.1,8.902191780821918,-0.1714618373869074,-33.8688,151.2093
Sydney,Australia,Australia,Southern,2019,17.886849315068492,22.84986301369863,40.5,13.526575342465753,3.0,9.323287671232876,0.1047025461747364,-33.8688,151.2093
Sydney,Australia,Australia,Southern,2020,17.37295081967213,21.75191256830601,42.0,13.452459016393444,4.4,8.299453551912569,-0.40919594922162555,-33.8688,151.2093
